Y1_STATEFIPS,Y1_COUNTYFIPS,Y2_STATEFIPS,Y2_COUNTYFIPS,Y2_STATE,Y2_COUNTYNAME,N1,N2,AGI,n_returns,n_individuals,agi_thousands,origin_fips5,dest_fips5,mean_agi
36,055,12,103,FL,Pinellas County,108,187,8894,108,187,8894,36055,12103,82351.85185185185
36,055,12,095,FL,Orange County,103,205,4270,103,205,4270,36055,12095,41456.31067961165
36,055,12,071,FL,Lee County,100,186,10873,100,186,10873,36055,12071,108730.0
36,055,12,105,FL,Polk County,81,162,3739,81,162,3739,36055,12105,46160.49382716049
36,055,12,099,FL,Palm Beach County,80,132,25214,80,132,25214,36055,12099,315175.0
36,055,12,011,FL,Broward County,77,111,7124,77,111,7124,36055,12011,92519.48051948052
36,055,12,009,FL,Brevard County,61,101,6133,61,101,6133,36055,12009,100540.98360655738
36,055,12,115,FL,Sarasota County,61,100,10367,61,100,10367,36055,12115,169950.81967213115
36,055,12,081,FL,Manatee County,60,112,5924,60,112,5924,36055,12081,98733.33333333333
36,055,12,086,FL,Miami-Dade County,57,95,5873,57,95,5873,36055,12086,103035.08771929824
36,055,12,031,FL,Duval County,54,85,3639,54,85,3639,36055,12031,67388.88888888889
36,055,12,101,FL,Pasco County,51,95,3320,51,95,3320,36055,12101,65098.03921568627
36,055,12,127,FL,Volusia County,45,73,3600,45,73,3600,36055,12127,80000.0
36,055,12,097,FL,Osceola County,41,72,2025,41,72,2025,36055,12097,49390.243902439026
36,055,12,083,FL,Marion County,39,71,2471,39,71,2471,36055,12083,63358.97435897436
36,055,12,119,FL,Sumter County,38,58,3880,38,58,3880,36055,12119,102105.26315789473
36,055,12,117,FL,Seminole County,36,83,2475,36,83,2475,36055,12117,68750.0
36,055,12,069,FL,Lake County,35,55,2084,35,55,2084,36055,12069,59542.857142857145
36,055,12,021,FL,Collier County,32,64,9753,32,64,9753,36055,12021,304781.25
36,055,12,015,FL,Charlotte County,28,50,3632,28,50,3632,36055,12015,129714.28571428571
36,055,12,111,FL,St. Lucie County,24,39,1766,24,39,1766,36055,12111,73583.33333333333
36,059,12,099,FL,Palm Beach County,1139,1927,404812,1139,1927,404812,36059,12099,355410.00877963123
36,059,12,011,FL,Broward County,531,863,81486,531,863,81486,36059,12011,153457.62711864407
36,059,12,086,FL,Miami-Dade County,383,574,96967,383,574,96967,36059,12086,253177.545691906
36,059,12,057,FL,Hillsborough County,272,486,27787,272,486,27787,36059,12057,102158.08823529411
36,059,12,095,FL,Orange County,251,470,26581,251,470,26581,36059,12095,105900.3984063745
36,059,12,071,FL,Lee County,182,301,31570,182,301,31570,36059,12071,173461.53846153847
36,059,12,111,FL,St. Lucie County,153,254,25744,153,254,25744,36059,12111,168261.43790849674
36,059,12,103,FL,Pinellas County,146,231,16998,146,231,16998,36059,12103,116424.65753424658
