NAME,median_home_value,median_gross_rent,population,median_hh_income,nh_white,total_race_eth,housing_units_occupied,owner_occupied_units,renter_occupied_units,state,county,county_fips5,pct_nh_white,pct_owner_occupied,owner_to_renter_ratio,affordability_index,lat,lon,land_sqmi,pop_density,log_pop_density,dem_two_party_share
"Citrus County, Florida",190800,1000,155173,52569,133833,155173,67551,57661,9890,12,017,12017,0.862476075090383,0.853592100783112,5.830232558139535,0.01902261789267439,28.850292,,581.9183698123137,266.6576758008997,5.58970883492957,0.2930639089611008
"Clay County, Florida",254500,1372,219650,82242,153832,219650,79704,61040,18664,12,019,12019,0.7003505577054405,0.7658335842617685,3.270467209601372,0.016682473675251087,29.986584,,604.6112315152097,363.2912995174395,5.897953820988282,0.31203531030888376
"Collier County, Florida",443700,1599,380221,82011,233909,380221,156768,117362,39406,12,021,12021,0.615192217157916,0.748634925494999,2.978277419682282,0.019497384497201595,26.118786,,1996.9498838081633,190.4008723919112,5.254370036959935,0.3757594241205203
"Columbia County, Florida",165300,905,69832,53501,49883,69832,26391,18850,7541,12,023,12023,0.7143286745331653,0.7142586487817817,2.4996684789815675,0.01691557167155754,30.221651,,797.5512720527596,87.55800717396446,4.483657785594851,0.27218320610687025
"DeSoto County, Florida",139500,861,34258,45000,18468,34258,12340,8784,3556,12,027,12027,0.5390857609901337,0.7118314424635332,2.470191226096738,0.019133333333333332,27.190581,,636.6947340102154,53.80600493461966,4.003799767049518,0.3387686923321667
"Dixie County, Florida",93200,805,16737,45057,13903,16737,6164,5117,1047,12,029,12029,0.8306745533847165,0.8301427644386762,4.887297039159503,0.017866258295048495,29.552675,,705.0339566088234,23.73928211983448,3.2083923495600946,0.16802067946824226
"Duval County, Florida",251300,1293,995708,65579,499087,995708,396132,228080,168052,12,031,12031,0.5012383148473247,0.5757676734017954,1.3571989622259777,0.0197166775949618,30.335245,,762.6460708901675,1305.5964463801674,7.175180902657174,0.5193227476671642
"Escambia County, Florida",206400,1170,321296,61642,202039,321296,126537,79891,46646,12,033,12033,0.6288251332104975,0.6313647391672002,1.7127084851862968,0.018980565199052595,30.529998,,656.9928418626024,489.04033579591567,6.194487705667584,0.4231964821632071
"Flagler County, Florida",293700,1561,117515,69251,86196,117515,47549,37680,9869,12,035,12035,0.733489341786155,0.7924456876064692,3.818016009727429,0.02254119074092793,29.474891,,486.2011809917677,241.70035901658935,5.491827591992234,0.39549744396382225
"Franklin County, Florida",236100,1045,12276,58107,9485,12276,4761,3840,921,12,037,12037,0.7726458129683936,0.8065532451165721,4.169381107491857,0.01798406388214845,29.677794,,544.9827971669282,22.525481655230784,3.158084159448068,0.31199411331861665
"Gadsden County, Florida",137300,781,43746,45721,13880,43746,15885,11728,4157,12,039,12039,0.31728615187674303,0.7383065785332075,2.821265335578542,0.01708186610091643,30.578687,,516.3750666123707,84.71749088698542,4.451056899143203,0.6839275129138792
"Gilchrist County, Florida",165500,801,18070,56823,15798,18070,6872,5684,1188,12,041,12041,0.8742667404537908,0.8271245634458673,4.784511784511785,0.01409640462488781,29.723456,,349.69487596701845,51.673619609182595,3.964114753541134,0.1771756122980719
"Glades County, Florida",91300,832,12179,37221,6936,12179,4637,3637,1000,12,043,12043,0.5695048854585762,0.7843433254259219,3.637,0.022352972784180972,26.95481,,806.8219837228935,15.095027460460138,2.778510370897818,0.26804722275982196
"Gulf County, Florida",197700,1143,15002,56250,11620,15002,5648,4438,1210,12,045,12045,0.7745633915477936,0.7857648725212465,3.667768595041322,0.02032,29.859238,,553.4532561286699,27.10617352752958,3.3359892506981184,0.24512225240800198
